--------------------------------------------------------------------------------------------------------------------------
Frequent Itemset Summary

Data File: ..\..\mushroom-bin.data

Total number of frequent itemsets generated: 24035

Number of frequent itemsets of length 1: 39
Number of frequent itemsets of length 2: 312
Number of frequent itemsets of length 3: 1127
Number of frequent itemsets of length 4: 2467
Number of frequent itemsets of length 5: 3801
Number of frequent itemsets of length 6: 4544
Number of frequent itemsets of length 7: 4437
Number of frequent itemsets of length 8: 3534
Number of frequent itemsets of length 9: 2224
Number of frequent itemsets of length 10: 1067
Number of frequent itemsets of length 11: 376
Number of frequent itemsets of length 12: 92
Number of frequent itemsets of length 13: 14
Number of frequent itemsets of length 14: 1



Total number of candidate frequent itemsets generated: 24834

Number of candidate frequent itemsets of length 1: 124
Number of candidate frequent itemsets of length 2: 720
Number of candidate frequent itemsets of length 3: 1337
Number of candidate frequent itemsets of length 4: 2538
Number of candidate frequent itemsets of length 5: 3822
Number of candidate frequent itemsets of length 6: 4548
Number of candidate frequent itemsets of length 7: 4437
Number of candidate frequent itemsets of length 8: 3534
Number of candidate frequent itemsets of length 9: 2224
Number of candidate frequent itemsets of length 10: 1067
Number of candidate frequent itemsets of length 11: 376
Number of candidate frequent itemsets of length 12: 92
Number of candidate frequent itemsets of length 13: 14
Number of candidate frequent itemsets of length 14: 1



Total time taken to generate frequent itemsets: 291742 ms
--------------------------------------------------------------------------------------------------------------------------
                                           Frequent Itemset                                                            Occurrence              Support
odor_n,gill-attachment_f,gill-size_b,stalk-shape_t,veil-type_p                                                             2496             0.3072378
odor_n,gill-attachment_f,gill-size_b,stalk-shape_t,veil-color_w                                                            2496             0.3072378
odor_n,gill-attachment_f,gill-size_b,stalk-shape_t,ring-number_o                                                           2496             0.3072378
odor_n,gill-attachment_f,gill-size_b,stalk-shape_t,ring-type_p                                                             1728             0.21270311
odor_n,gill-attachment_f,gill-size_b,stalk-shape_t,habitat_d                                                               1728             0.21270311
odor_n,gill-attachment_f,gill-size_b,stalk-root_b,stalk-surface-above-ring_s                                               1832             0.22550468
odor_n,gill-attachment_f,gill-size_b,stalk-root_b,stalk-surface-below-ring_s                                               1832             0.22550468
odor_n,gill-attachment_f,gill-size_b,stalk-root_b,veil-type_p                                                              1848             0.22747415
odor_n,gill-attachment_f,gill-size_b,stalk-root_b,veil-color_w                                                             1848             0.22747415
odor_n,gill-attachment_f,gill-size_b,stalk-root_b,ring-number_o                                                            1728             0.21270311
odor_n,gill-attachment_f,gill-size_b,stalk-root_b,ring-type_p                                                              1848             0.22747415
odor_n,gill-attachment_f,gill-size_b,stalk-root_b,habitat_d                                                                1736             0.21368784
odor_n,gill-attachment_f,gill-size_b,stalk-surface-above-ring_s,stalk-surface-below-ring_s                                 2288             0.28163466
odor_n,gill-attachment_f,gill-size_b,stalk-surface-above-ring_s,veil-type_p                                                2552             0.31413096
odor_n,gill-attachment_f,gill-size_b,stalk-surface-above-ring_s,veil-color_w                                               2552             0.31413096
odor_n,gill-attachment_f,gill-size_b,stalk-surface-above-ring_s,ring-number_o                                              2112             0.25997046
odor_n,gill-attachment_f,gill-size_b,stalk-surface-above-ring_s,ring-type_p                                                1976             0.24322994
odor_n,gill-attachment_f,gill-size_b,stalk-surface-above-ring_s,habitat_d                                                  1728             0.21270311
odor_n,gill-attachment_f,gill-size_b,stalk-surface-below-ring_s,veil-type_p                                                2552             0.31413096
odor_n,gill-attachment_f,gill-size_b,stalk-surface-below-ring_s,veil-color_w                                               2552             0.31413096
odor_n,gill-attachment_f,gill-size_b,stalk-surface-below-ring_s,ring-number_o                                              2112             0.25997046
odor_n,gill-attachment_f,gill-size_b,stalk-surface-below-ring_s,ring-type_p                                                1976             0.24322994
odor_n,gill-attachment_f,gill-size_b,stalk-surface-below-ring_s,habitat_d                                                  1728             0.21270311
odor_n,gill-attachment_f,gill-size_b,stalk-color-above-ring_w,veil-type_p                                                  1832             0.22550468
odor_n,gill-attachment_f,gill-size_b,stalk-color-above-ring_w,veil-color_w                                                 1832             0.22550468
odor_n,gill-attachment_f,gill-size_b,stalk-color-below-ring_w,veil-type_p                                                  1832             0.22550468
odor_n,gill-attachment_f,gill-size_b,stalk-color-below-ring_w,veil-color_w                                                 1832             0.22550468
odor_n,gill-attachment_f,gill-size_b,veil-type_p,veil-color_w                                                              3096             0.38109306
odor_n,gill-attachment_f,gill-size_b,veil-type_p,ring-number_o                                                             2496             0.3072378
odor_n,gill-attachment_f,gill-size_b,veil-type_p,ring-type_p                                                               2136             0.26292467
odor_n,gill-attachment_f,gill-size_b,veil-type_p,habitat_d                                                                 1736             0.21368784
odor_n,gill-attachment_f,gill-size_b,veil-color_w,ring-number_o                                                            2496             0.3072378
odor_n,gill-attachment_f,gill-size_b,veil-color_w,ring-type_p                                                              2136             0.26292467
odor_n,gill-attachment_f,gill-size_b,veil-color_w,habitat_d                                                                1736             0.21368784
odor_n,gill-attachment_f,gill-size_b,ring-number_o,ring-type_p                                                             1728             0.21270311
odor_n,gill-attachment_f,gill-size_b,ring-number_o,habitat_d                                                               1728             0.21270311
odor_n,gill-attachment_f,gill-size_b,ring-type_p,habitat_d                                                                 1736             0.21368784
odor_n,gill-attachment_f,stalk-shape_t,stalk-root_b,stalk-surface-above-ring_s                                             1728             0.21270311
odor_n,gill-attachment_f,stalk-shape_t,stalk-root_b,stalk-surface-below-ring_s                                             1728             0.21270311
odor_n,gill-attachment_f,stalk-shape_t,stalk-root_b,veil-type_p                                                            1728             0.21270311
odor_n,gill-attachment_f,stalk-shape_t,stalk-root_b,veil-color_w                                                           1728             0.21270311
odor_n,gill-attachment_f,stalk-shape_t,stalk-root_b,ring-number_o                                                          1728             0.21270311
odor_n,gill-attachment_f,stalk-shape_t,stalk-root_b,ring-type_p                                                            1728             0.21270311
odor_n,gill-attachment_f,stalk-shape_t,stalk-root_b,habitat_d                                                              1728             0.21270311
odor_n,gill-attachment_f,stalk-shape_t,stalk-surface-above-ring_s,stalk-surface-below-ring_s                               1920             0.23633678
odor_n,gill-attachment_f,stalk-shape_t,stalk-surface-above-ring_s,veil-type_p                                              2112             0.25997046
odor_n,gill-attachment_f,stalk-shape_t,stalk-surface-above-ring_s,veil-color_w                                             2112             0.25997046
odor_n,gill-attachment_f,stalk-shape_t,stalk-surface-above-ring_s,ring-number_o                                            2112             0.25997046
odor_n,gill-attachment_f,stalk-shape_t,stalk-surface-above-ring_s,ring-type_p                                              1728             0.21270311
odor_n,gill-attachment_f,stalk-shape_t,stalk-surface-above-ring_s,habitat_d                                                1728             0.21270311
odor_n,gill-attachment_f,stalk-shape_t,stalk-surface-below-ring_s,veil-type_p                                              2112             0.25997046
odor_n,gill-attachment_f,stalk-shape_t,stalk-surface-below-ring_s,veil-color_w                                             2112             0.25997046
odor_n,gill-attachment_f,stalk-shape_t,stalk-surface-below-ring_s,ring-number_o                                            2112             0.25997046
odor_n,gill-attachment_f,stalk-shape_t,stalk-surface-below-ring_s,ring-type_p                                              1728             0.21270311
odor_n,gill-attachment_f,stalk-shape_t,stalk-surface-below-ring_s,habitat_d                                                1728             0.21270311
odor_n,gill-attachment_f,stalk-shape_t,veil-type_p,veil-color_w                                                            2496             0.3072378
odor_n,gill-attachment_f,stalk-shape_t,veil-type_p,ring-number_o                                                           2496             0.3072378
odor_n,gill-attachment_f,stalk-shape_t,veil-type_p,ring-type_p                                                             1728             0.21270311
odor_n,gill-attachment_f,stalk-shape_t,veil-type_p,habitat_d                                                               1728             0.21270311
odor_n,gill-attachment_f,stalk-shape_t,veil-color_w,ring-number_o                                                          2496             0.3072378
odor_n,gill-attachment_f,stalk-shape_t,veil-color_w,ring-type_p                                                            1728             0.21270311
odor_n,gill-attachment_f,stalk-shape_t,veil-color_w,habitat_d                                                              1728             0.21270311
odor_n,gill-attachment_f,stalk-shape_t,ring-number_o,ring-type_p                                                           1728             0.21270311
odor_n,gill-attachment_f,stalk-shape_t,ring-number_o,habitat_d                                                             1728             0.21270311
odor_n,gill-attachment_f,stalk-shape_t,ring-type_p,habitat_d                                                               1728             0.21270311
odor_n,gill-attachment_f,stalk-root_b,stalk-surface-above-ring_s,stalk-surface-below-ring_s                                1852             0.22796652
odor_n,gill-attachment_f,stalk-root_b,stalk-surface-above-ring_s,veil-type_p                                               1864             0.22944362
odor_n,gill-attachment_f,stalk-root_b,stalk-surface-above-ring_s,veil-color_w                                              1864             0.22944362
odor_n,gill-attachment_f,stalk-root_b,stalk-surface-above-ring_s,ring-number_o                                             1760             0.21664205
odor_n,gill-attachment_f,stalk-root_b,stalk-surface-above-ring_s,ring-type_p                                               1840             0.22648941
odor_n,gill-attachment_f,stalk-root_b,stalk-surface-above-ring_s,habitat_d                                                 1728             0.21270311
odor_n,gill-attachment_f,stalk-root_b,stalk-surface-below-ring_s,veil-type_p                                               1864             0.22944362
odor_n,gill-attachment_f,stalk-root_b,stalk-surface-below-ring_s,veil-color_w                                              1864             0.22944362
odor_n,gill-attachment_f,stalk-root_b,stalk-surface-below-ring_s,ring-number_o                                             1760             0.21664205
odor_n,gill-attachment_f,stalk-root_b,stalk-surface-below-ring_s,ring-type_p                                               1840             0.22648941
odor_n,gill-attachment_f,stalk-root_b,stalk-surface-below-ring_s,habitat_d                                                 1728             0.21270311
odor_n,gill-attachment_f,stalk-root_b,veil-type_p,veil-color_w                                                             1904             0.23436731
odor_n,gill-attachment_f,stalk-root_b,veil-type_p,ring-number_o                                                            1784             0.21959625
odor_n,gill-attachment_f,stalk-root_b,veil-type_p,ring-type_p                                                              1856             0.22845888
odor_n,gill-attachment_f,stalk-root_b,veil-type_p,habitat_d                                                                1736             0.21368784
odor_n,gill-attachment_f,stalk-root_b,veil-color_w,ring-number_o                                                           1784             0.21959625
odor_n,gill-attachment_f,stalk-root_b,veil-color_w,ring-type_p                                                             1856             0.22845888
odor_n,gill-attachment_f,stalk-root_b,veil-color_w,habitat_d                                                               1736             0.21368784
odor_n,gill-attachment_f,stalk-root_b,ring-number_o,ring-type_p                                                            1736             0.21368784
odor_n,gill-attachment_f,stalk-root_b,ring-number_o,habitat_d                                                              1728             0.21270311
odor_n,gill-attachment_f,stalk-root_b,ring-type_p,habitat_d                                                                1736             0.21368784
odor_n,gill-attachment_f,stalk-surface-above-ring_s,stalk-surface-below-ring_s,veil-type_p                                 2404             0.29591334
odor_n,gill-attachment_f,stalk-surface-above-ring_s,stalk-surface-below-ring_s,veil-color_w                                2404             0.29591334
odor_n,gill-attachment_f,stalk-surface-above-ring_s,stalk-surface-below-ring_s,ring-number_o                               2036             0.25061545
odor_n,gill-attachment_f,stalk-surface-above-ring_s,stalk-surface-below-ring_s,ring-type_p                                 2008             0.24716888
odor_n,gill-attachment_f,stalk-surface-above-ring_s,stalk-surface-below-ring_s,habitat_d                                   1728             0.21270311
odor_n,gill-attachment_f,stalk-surface-above-ring_s,veil-type_p,veil-color_w                                               2728             0.33579516
odor_n,gill-attachment_f,stalk-surface-above-ring_s,veil-type_p,ring-number_o                                              2288             0.28163466
odor_n,gill-attachment_f,stalk-surface-above-ring_s,veil-type_p,ring-type_p                                                2080             0.2560315
odor_n,gill-attachment_f,stalk-surface-above-ring_s,veil-type_p,habitat_d                                                  1776             0.21861152
odor_n,gill-attachment_f,stalk-surface-above-ring_s,veil-color_w,ring-number_o                                             2288             0.28163466
odor_n,gill-attachment_f,stalk-surface-above-ring_s,veil-color_w,ring-type_p                                               2080             0.2560315
odor_n,gill-attachment_f,stalk-surface-above-ring_s,veil-color_w,habitat_d                                                 1776             0.21861152
odor_n,gill-attachment_f,stalk-surface-above-ring_s,ring-number_o,ring-type_p                                              1832             0.22550468
odor_n,gill-attachment_f,stalk-surface-above-ring_s,ring-number_o,habitat_d                                                1776             0.21861152
odor_n,gill-attachment_f,stalk-surface-above-ring_s,ring-type_p,habitat_d                                                  1728             0.21270311
odor_n,gill-attachment_f,stalk-surface-below-ring_s,veil-type_p,veil-color_w                                               2680             0.32988676
odor_n,gill-attachment_f,stalk-surface-below-ring_s,veil-type_p,ring-number_o                                              2240             0.27572623
odor_n,gill-attachment_f,stalk-surface-below-ring_s,veil-type_p,ring-type_p                                                2080             0.2560315
odor_n,gill-attachment_f,stalk-surface-below-ring_s,veil-type_p,habitat_d                                                  1728             0.21270311
odor_n,gill-attachment_f,stalk-surface-below-ring_s,veil-color_w,ring-number_o                                             2240             0.27572623
odor_n,gill-attachment_f,stalk-surface-below-ring_s,veil-color_w,ring-type_p                                               2080             0.2560315
odor_n,gill-attachment_f,stalk-surface-below-ring_s,veil-color_w,habitat_d                                                 1728             0.21270311
odor_n,gill-attachment_f,stalk-surface-below-ring_s,ring-number_o,ring-type_p                                              1832             0.22550468
odor_n,gill-attachment_f,stalk-surface-below-ring_s,ring-number_o,habitat_d                                                1728             0.21270311
odor_n,gill-attachment_f,stalk-surface-below-ring_s,ring-type_p,habitat_d                                                  1728             0.21270311
odor_n,gill-attachment_f,stalk-color-above-ring_w,veil-type_p,veil-color_w                                                 2064             0.25406203
odor_n,gill-attachment_f,stalk-color-below-ring_w,veil-type_p,veil-color_w                                                 1984             0.24421467
odor_n,gill-attachment_f,veil-type_p,veil-color_w,ring-number_o                                                            2728             0.33579516
odor_n,gill-attachment_f,veil-type_p,veil-color_w,ring-type_p                                                              2240             0.27572623
odor_n,gill-attachment_f,veil-type_p,veil-color_w,habitat_d                                                                1784             0.21959625
odor_n,gill-attachment_f,veil-type_p,ring-number_o,ring-type_p                                                             1832             0.22550468
odor_n,gill-attachment_f,veil-type_p,ring-number_o,habitat_d                                                               1776             0.21861152
odor_n,gill-attachment_f,veil-type_p,ring-type_p,habitat_d                                                                 1736             0.21368784
odor_n,gill-attachment_f,veil-color_w,ring-number_o,ring-type_p                                                            1832             0.22550468
odor_n,gill-attachment_f,veil-color_w,ring-number_o,habitat_d                                                              1776             0.21861152
odor_n,gill-attachment_f,veil-color_w,ring-type_p,habitat_d                                                                1736             0.21368784
odor_n,gill-attachment_f,ring-number_o,ring-type_p,habitat_d                                                               1728             0.21270311
odor_n,gill-spacing_c,gill-size_b,stalk-shape_t,stalk-root_b                                                               1728             0.21270311
odor_n,gill-spacing_c,gill-size_b,stalk-shape_t,stalk-surface-above-ring_s                                                 1728             0.21270311
odor_n,gill-spacing_c,gill-size_b,stalk-shape_t,stalk-surface-below-ring_s                                                 1728             0.21270311
odor_n,gill-spacing_c,gill-size_b,stalk-shape_t,veil-type_p                                                                1728             0.21270311
odor_n,gill-spacing_c,gill-size_b,stalk-shape_t,veil-color_w                                                               1728             0.21270311
odor_n,gill-spacing_c,gill-size_b,stalk-shape_t,ring-number_o                                                              1728             0.21270311
odor_n,gill-spacing_c,gill-size_b,stalk-shape_t,ring-type_p                                                                1728             0.21270311
odor_n,gill-spacing_c,gill-size_b,stalk-shape_t,habitat_d                                                                  1728             0.21270311
odor_n,gill-spacing_c,gill-size_b,stalk-root_b,stalk-surface-above-ring_s                                                  1832             0.22550468
odor_n,gill-spacing_c,gill-size_b,stalk-root_b,stalk-surface-below-ring_s                                                  1832             0.22550468
odor_n,gill-spacing_c,gill-size_b,stalk-root_b,veil-type_p                                                                 1848             0.22747415
odor_n,gill-spacing_c,gill-size_b,stalk-root_b,veil-color_w                                                                1848             0.22747415
odor_n,gill-spacing_c,gill-size_b,stalk-root_b,ring-number_o                                                               1728             0.21270311
odor_n,gill-spacing_c,gill-size_b,stalk-root_b,ring-type_p                                                                 1848             0.22747415
odor_n,gill-spacing_c,gill-size_b,stalk-root_b,habitat_d                                                                   1736             0.21368784
odor_n,gill-spacing_c,gill-size_b,stalk-surface-above-ring_s,stalk-surface-below-ring_s                                    2216             0.27277204
odor_n,gill-spacing_c,gill-size_b,stalk-surface-above-ring_s,veil-type_p                                                   2216             0.27277204
odor_n,gill-spacing_c,gill-size_b,stalk-surface-above-ring_s,veil-color_w                                                  2024             0.24913836
odor_n,gill-spacing_c,gill-size_b,stalk-surface-above-ring_s,ring-number_o                                                 1920             0.23633678
odor_n,gill-spacing_c,gill-size_b,stalk-surface-above-ring_s,ring-type_p                                                   2024             0.24913836
odor_n,gill-spacing_c,gill-size_b,stalk-surface-above-ring_s,habitat_d                                                     1728             0.21270311
odor_n,gill-spacing_c,gill-size_b,stalk-surface-below-ring_s,veil-type_p                                                   2216             0.27277204
odor_n,gill-spacing_c,gill-size_b,stalk-surface-below-ring_s,veil-color_w                                                  2024             0.24913836
odor_n,gill-spacing_c,gill-size_b,stalk-surface-below-ring_s,ring-number_o                                                 1920             0.23633678
odor_n,gill-spacing_c,gill-size_b,stalk-surface-below-ring_s,ring-type_p                                                   2024             0.24913836
odor_n,gill-spacing_c,gill-size_b,stalk-surface-below-ring_s,habitat_d                                                     1728             0.21270311
odor_n,gill-spacing_c,gill-size_b,veil-type_p,veil-color_w                                                                 2040             0.25110784
odor_n,gill-spacing_c,gill-size_b,veil-type_p,ring-number_o                                                                1920             0.23633678
odor_n,gill-spacing_c,gill-size_b,veil-type_p,ring-type_p                                                                  2040             0.25110784
odor_n,gill-spacing_c,gill-size_b,veil-type_p,habitat_d                                                                    1736             0.21368784
odor_n,gill-spacing_c,gill-size_b,veil-color_w,ring-number_o                                                               1728             0.21270311
odor_n,gill-spacing_c,gill-size_b,veil-color_w,ring-type_p                                                                 1848             0.22747415
odor_n,gill-spacing_c,gill-size_b,veil-color_w,habitat_d                                                                   1736             0.21368784
odor_n,gill-spacing_c,gill-size_b,ring-number_o,ring-type_p                                                                1920             0.23633678
odor_n,gill-spacing_c,gill-size_b,ring-number_o,habitat_d                                                                  1728             0.21270311
odor_n,gill-spacing_c,gill-size_b,ring-type_p,habitat_d                                                                    1736             0.21368784
odor_n,gill-spacing_c,stalk-shape_t,stalk-root_b,stalk-surface-above-ring_s                                                1728             0.21270311
odor_n,gill-spacing_c,stalk-shape_t,stalk-root_b,stalk-surface-below-ring_s                                                1728             0.21270311
odor_n,gill-spacing_c,stalk-shape_t,stalk-root_b,veil-type_p                                                               1728             0.21270311
odor_n,gill-spacing_c,stalk-shape_t,stalk-root_b,veil-color_w                                                              1728             0.21270311
odor_n,gill-spacing_c,stalk-shape_t,stalk-root_b,ring-number_o                                                             1728             0.21270311
odor_n,gill-spacing_c,stalk-shape_t,stalk-root_b,ring-type_p                                                               1728             0.21270311
odor_n,gill-spacing_c,stalk-shape_t,stalk-root_b,habitat_d                                                                 1728             0.21270311
odor_n,gill-spacing_c,stalk-shape_t,stalk-surface-above-ring_s,stalk-surface-below-ring_s                                  1728             0.21270311
odor_n,gill-spacing_c,stalk-shape_t,stalk-surface-above-ring_s,veil-type_p                                                 1728             0.21270311
odor_n,gill-spacing_c,stalk-shape_t,stalk-surface-above-ring_s,veil-color_w                                                1728             0.21270311
odor_n,gill-spacing_c,stalk-shape_t,stalk-surface-above-ring_s,ring-number_o                                               1728             0.21270311
odor_n,gill-spacing_c,stalk-shape_t,stalk-surface-above-ring_s,ring-type_p                                                 1728             0.21270311
odor_n,gill-spacing_c,stalk-shape_t,stalk-surface-above-ring_s,habitat_d                                                   1728             0.21270311
odor_n,gill-spacing_c,stalk-shape_t,stalk-surface-below-ring_s,veil-type_p                                                 1728             0.21270311
odor_n,gill-spacing_c,stalk-shape_t,stalk-surface-below-ring_s,veil-color_w                                                1728             0.21270311
odor_n,gill-spacing_c,stalk-shape_t,stalk-surface-below-ring_s,ring-number_o                                               1728             0.21270311
odor_n,gill-spacing_c,stalk-shape_t,stalk-surface-below-ring_s,ring-type_p                                                 1728             0.21270311
odor_n,gill-spacing_c,stalk-shape_t,stalk-surface-below-ring_s,habitat_d                                                   1728             0.21270311
odor_n,gill-spacing_c,stalk-shape_t,veil-type_p,veil-color_w                                                               1728             0.21270311
odor_n,gill-spacing_c,stalk-shape_t,veil-type_p,ring-number_o                                                              1728             0.21270311
odor_n,gill-spacing_c,stalk-shape_t,veil-type_p,ring-type_p                                                                1728             0.21270311
odor_n,gill-spacing_c,stalk-shape_t,veil-type_p,habitat_d                                                                  1728             0.21270311
odor_n,gill-spacing_c,stalk-shape_t,veil-color_w,ring-number_o                                                             1728             0.21270311
odor_n,gill-spacing_c,stalk-shape_t,veil-color_w,ring-type_p                                                               1728             0.21270311
odor_n,gill-spacing_c,stalk-shape_t,veil-color_w,habitat_d                                                                 1728             0.21270311
odor_n,gill-spacing_c,stalk-shape_t,ring-number_o,ring-type_p                                                              1728             0.21270311
odor_n,gill-spacing_c,stalk-shape_t,ring-number_o,habitat_d                                                                1728             0.21270311
odor_n,gill-spacing_c,stalk-shape_t,ring-type_p,habitat_d                                                                  1728             0.21270311
odor_n,gill-spacing_c,stalk-root_b,stalk-surface-above-ring_s,stalk-surface-below-ring_s                                   1832             0.22550468
odor_n,gill-spacing_c,stalk-root_b,stalk-surface-above-ring_s,veil-type_p                                                  1832             0.22550468
odor_n,gill-spacing_c,stalk-root_b,stalk-surface-above-ring_s,veil-color_w                                                 1832             0.22550468
odor_n,gill-spacing_c,stalk-root_b,stalk-surface-above-ring_s,ring-number_o                                                1728             0.21270311
odor_n,gill-spacing_c,stalk-root_b,stalk-surface-above-ring_s,ring-type_p                                                  1832             0.22550468
odor_n,gill-spacing_c,stalk-root_b,stalk-surface-above-ring_s,habitat_d                                                    1728             0.21270311
odor_n,gill-spacing_c,stalk-root_b,stalk-surface-below-ring_s,veil-type_p                                                  1832             0.22550468
odor_n,gill-spacing_c,stalk-root_b,stalk-surface-below-ring_s,veil-color_w                                                 1832             0.22550468
odor_n,gill-spacing_c,stalk-root_b,stalk-surface-below-ring_s,ring-number_o                                                1728             0.21270311
odor_n,gill-spacing_c,stalk-root_b,stalk-surface-below-ring_s,ring-type_p                                                  1832             0.22550468
odor_n,gill-spacing_c,stalk-root_b,stalk-surface-below-ring_s,habitat_d                                                    1728             0.21270311
odor_n,gill-spacing_c,stalk-root_b,veil-type_p,veil-color_w                                                                1848             0.22747415
odor_n,gill-spacing_c,stalk-root_b,veil-type_p,ring-number_o                                                               1728             0.21270311
odor_n,gill-spacing_c,stalk-root_b,veil-type_p,ring-type_p                                                                 1848             0.22747415
odor_n,gill-spacing_c,stalk-root_b,veil-type_p,habitat_d                                                                   1736             0.21368784
odor_n,gill-spacing_c,stalk-root_b,veil-color_w,ring-number_o                                                              1728             0.21270311
odor_n,gill-spacing_c,stalk-root_b,veil-color_w,ring-type_p                                                                1848             0.22747415
odor_n,gill-spacing_c,stalk-root_b,veil-color_w,habitat_d                                                                  1736             0.21368784
odor_n,gill-spacing_c,stalk-root_b,ring-number_o,ring-type_p                                                               1728             0.21270311
odor_n,gill-spacing_c,stalk-root_b,ring-number_o,habitat_d                                                                 1728             0.21270311
odor_n,gill-spacing_c,stalk-root_b,ring-type_p,habitat_d                                                                   1736             0.21368784
odor_n,gill-spacing_c,stalk-surface-above-ring_s,stalk-surface-below-ring_s,veil-type_p                                    2312             0.28458887
odor_n,gill-spacing_c,stalk-surface-above-ring_s,stalk-surface-below-ring_s,veil-color_w                                   2120             0.26095518
odor_n,gill-spacing_c,stalk-surface-above-ring_s,stalk-surface-below-ring_s,ring-number_o                                  2016             0.24815361
odor_n,gill-spacing_c,stalk-surface-above-ring_s,stalk-surface-below-ring_s,ring-type_p                                    2120             0.26095518
odor_n,gill-spacing_c,stalk-surface-above-ring_s,stalk-surface-below-ring_s,habitat_d                                      1728             0.21270311
odor_n,gill-spacing_c,stalk-surface-above-ring_s,veil-type_p,veil-color_w                                                  2168             0.2668636
odor_n,gill-spacing_c,stalk-surface-above-ring_s,veil-type_p,ring-number_o                                                 2064             0.25406203
odor_n,gill-spacing_c,stalk-surface-above-ring_s,veil-type_p,ring-type_p                                                   2120             0.26095518
odor_n,gill-spacing_c,stalk-surface-above-ring_s,veil-type_p,habitat_d                                                     1776             0.21861152
odor_n,gill-spacing_c,stalk-surface-above-ring_s,veil-color_w,ring-number_o                                                1872             0.23042837
odor_n,gill-spacing_c,stalk-surface-above-ring_s,veil-color_w,ring-type_p                                                  1928             0.23732151
odor_n,gill-spacing_c,stalk-surface-above-ring_s,veil-color_w,habitat_d                                                    1776             0.21861152
odor_n,gill-spacing_c,stalk-surface-above-ring_s,ring-number_o,ring-type_p                                                 2016             0.24815361
odor_n,gill-spacing_c,stalk-surface-above-ring_s,ring-number_o,habitat_d                                                   1776             0.21861152
odor_n,gill-spacing_c,stalk-surface-above-ring_s,ring-type_p,habitat_d                                                     1728             0.21270311
odor_n,gill-spacing_c,stalk-surface-below-ring_s,veil-type_p,veil-color_w                                                  2120             0.26095518
odor_n,gill-spacing_c,stalk-surface-below-ring_s,veil-type_p,ring-number_o                                                 2016             0.24815361
odor_n,gill-spacing_c,stalk-surface-below-ring_s,veil-type_p,ring-type_p                                                   2120             0.26095518
odor_n,gill-spacing_c,stalk-surface-below-ring_s,veil-type_p,habitat_d                                                     1728             0.21270311
odor_n,gill-spacing_c,stalk-surface-below-ring_s,veil-color_w,ring-number_o                                                1824             0.22451994
odor_n,gill-spacing_c,stalk-surface-below-ring_s,veil-color_w,ring-type_p                                                  1928             0.23732151
odor_n,gill-spacing_c,stalk-surface-below-ring_s,veil-color_w,habitat_d                                                    1728             0.21270311
odor_n,gill-spacing_c,stalk-surface-below-ring_s,ring-number_o,ring-type_p                                                 2016             0.24815361
odor_n,gill-spacing_c,stalk-surface-below-ring_s,ring-number_o,habitat_d                                                   1728             0.21270311
odor_n,gill-spacing_c,stalk-surface-below-ring_s,ring-type_p,habitat_d                                                     1728             0.21270311
odor_n,gill-spacing_c,veil-type_p,veil-color_w,ring-number_o                                                               1904             0.23436731
odor_n,gill-spacing_c,veil-type_p,veil-color_w,ring-type_p                                                                 1944             0.23929098
odor_n,gill-spacing_c,veil-type_p,veil-color_w,habitat_d                                                                   1784             0.21959625
odor_n,gill-spacing_c,veil-type_p,ring-number_o,ring-type_p                                                                2016             0.24815361
odor_n,gill-spacing_c,veil-type_p,ring-number_o,habitat_d                                                                  1776             0.21861152
odor_n,gill-spacing_c,veil-type_p,ring-type_p,habitat_d                                                                    1736             0.21368784
odor_n,gill-spacing_c,veil-color_w,ring-number_o,ring-type_p                                                               1824             0.22451994
odor_n,gill-spacing_c,veil-color_w,ring-number_o,habitat_d                                                                 1776             0.21861152
odor_n,gill-spacing_c,veil-color_w,ring-type_p,habitat_d                                                                   1736             0.21368784
odor_n,gill-spacing_c,ring-number_o,ring-type_p,habitat_d                                                                  1728             0.21270311
odor_n,gill-size_b,stalk-shape_t,stalk-root_b,stalk-surface-above-ring_s                                                   1728             0.21270311
odor_n,gill-size_b,stalk-shape_t,stalk-root_b,stalk-surface-below-ring_s                                                   1728             0.21270311
odor_n,gill-size_b,stalk-shape_t,stalk-root_b,veil-type_p                                                                  1728             0.21270311
odor_n,gill-size_b,stalk-shape_t,stalk-root_b,veil-color_w                                                                 1728             0.21270311
odor_n,gill-size_b,stalk-shape_t,stalk-root_b,ring-number_o                                                                1728             0.21270311
odor_n,gill-size_b,stalk-shape_t,stalk-root_b,ring-type_p                                                                  1728             0.21270311
odor_n,gill-size_b,stalk-shape_t,stalk-root_b,habitat_d                                                                    1728             0.21270311
odor_n,gill-size_b,stalk-shape_t,stalk-surface-above-ring_s,stalk-surface-below-ring_s                                     1920             0.23633678
odor_n,gill-size_b,stalk-shape_t,stalk-surface-above-ring_s,veil-type_p                                                    2112             0.25997046
odor_n,gill-size_b,stalk-shape_t,stalk-surface-above-ring_s,veil-color_w                                                   2112             0.25997046
odor_n,gill-size_b,stalk-shape_t,stalk-surface-above-ring_s,ring-number_o                                                  2112             0.25997046
odor_n,gill-size_b,stalk-shape_t,stalk-surface-above-ring_s,ring-type_p                                                    1728             0.21270311
odor_n,gill-size_b,stalk-shape_t,stalk-surface-above-ring_s,habitat_d                                                      1728             0.21270311
